Miner_ID,X_Position,Y_Position,Speed,Direction
Miner_1,0.0,24.613602638670514,1,3.192388907300021
Miner_2,100.0,58.704520471124965,3,6.088370385288194
Miner_3,100.0,0.0,3,5.90105809056304
Miner_4,0.0,0.0,4,3.895301805632313
Miner_5,100.0,100.0,1,0.8554297572241635
Miner_6,94.64255893526567,0.0,3,4.975283084434469
Miner_7,100.0,40.053329163617526,1,5.937022360519749
Miner_8,0.0,58.271501512796284,4,3.3490808788832145
Miner_9,100.0,0.0,4,5.39888020050867
Miner_10,14.051317421076428,100.0,4,1.7849218385297734
Miner_11,58.47500528689353,5.875517246866206,1,5.260112116334486
Miner_12,6.9015831068607305,85.01403271446878,2,2.059104085142414
Miner_13,91.2292886063104,33.4357415141209,1,5.782427309812406
Miner_14,100.0,0.0,4,5.681318744481395
Miner_15,65.47094602986866,100.0,1,2.33520115746833
Miner_16,100.0,95.01257739154188,2,0.07467125976565511
Miner_17,100.0,100.0,3,0.8935625695904665
Miner_18,0.0,96.86993248254389,4,2.696923517630953
Miner_19,100.0,39.08348932625629,1,0.17284853805761696
Miner_20,80.07595660848297,100.0,2,1.377293611411661
Miner_21,0.0,38.72582853536443,3,3.2930517130443198
Miner_22,100.0,100.0,4,1.5010204617722134
Miner_23,100.0,91.30186605953557,1,0.7874417557993766
Miner_24,0.0,98.67538957430197,2,3.0491697520335848
Miner_25,16.807507362943383,76.46871348778507,1,3.5468798333759857
Miner_26,82.14002862013457,0.0,4,4.93300416563907
Miner_27,100.0,100.0,4,0.47193543446783687
Miner_28,100.0,100.0,4,0.9992744428007074
Miner_29,100.0,100.0,4,1.3913028862347279
Miner_30,0.0,100.0,1,2.0386981108983337
Miner_31,46.88433883843471,0.0,2,4.9803098009007085
Miner_32,100.0,0.0,4,5.251376407683558
Miner_33,100.0,31.8198606424872,3,6.246438460668295
Miner_34,100.0,100.0,4,1.4785226270410503
Miner_35,100.0,0.0,2,5.9691069254513875
Miner_36,98.58616230309626,100.0,4,1.2762017388232987
Miner_37,40.57762222901302,100.0,1,0.8901298593233866
Miner_38,89.64095722111931,0.0,2,5.207243695635476
Miner_39,0.0,100.0,4,2.8987714613945723
Miner_40,24.26223268966123,100.0,2,1.5254378741089305
Miner_41,7.733012356705664,54.33640104444613,2,2.733133453399888
Miner_42,100.0,100.0,4,0.9318922199003543
Miner_43,100.0,0.0,3,5.6730683562157385
Miner_44,46.510186827377055,100.0,3,1.517507373125903
Miner_45,96.72021695585453,0.0,2,5.220336909584776
Miner_46,100.0,0.0,4,5.849806536616966
Miner_47,0.0,100.0,4,2.2595702719551025
Miner_48,89.6115817850331,100.0,3,1.0625946713365055
Miner_49,0.0,0.0,4,3.6104325036172518
Miner_50,65.91108669249599,85.82146569048794,1,0.5563807426098781
Miner_51,100.0,0.0,4,5.180227184275376
Miner_52,100.0,78.4204161524421,2,0.5535955144676288
Miner_53,0.0,0.0,3,3.553121689169263
Miner_54,65.59097777093295,0.0,3,4.837473615391849
Miner_55,0.0,79.07339001559451,1,3.118752582377782
Miner_56,0.0,0.0,3,3.906445074665475
Miner_57,54.913699914065525,73.04649989803121,1,0.21541752010443935
Miner_58,100.0,0.0,3,6.0478462440845
Miner_59,100.0,0.0,2,5.97388566018303
Miner_60,60.796414477151735,100.0,2,0.8813214842043995
Miner_61,0.0,0.0,4,3.651960493130191
Miner_62,20.160763265976385,100.0,4,1.5273743677282448
Miner_63,100.0,100.0,4,1.3389688172894387
Miner_64,10.334629364408233,0.0,2,4.078621504224929
Miner_65,100.0,50.07611842711446,3,0.2956063868215561
Miner_66,93.16514285845423,0.0,3,5.016079177379002
Miner_67,90.0745567105927,20.274751213171896,1,4.820569153186784
Miner_68,58.307064596539085,100.0,2,1.5994484959247086
Miner_69,100.0,0.0,2,5.246309953209482
Miner_70,100.0,0.0,2,5.37788837828924
Miner_71,100.0,0.0,2,5.564380402696993
Miner_72,0.0,0.0,3,3.484159523268353
Miner_73,53.58665258053597,100.0,4,1.7332835081227327
Miner_74,0.0,100.0,1,1.688841024511319
Miner_75,78.52970449219306,0.0,2,4.792578132087599
Miner_76,70.4404903058957,0.0,3,5.187036267731773
Miner_77,2.6626638213116367,47.237653197478295,2,2.8253067325507994
Miner_78,100.0,0.0,1,5.505433859009049
Miner_79,53.9821925316044,0.0,2,5.082278779537901
Miner_80,24.0350503110231,34.48664637393751,1,2.378437139050986
Miner_81,100.0,41.29884320235456,1,5.352294341353299
Miner_82,0.0,0.0,3,4.117780905376452
Miner_83,0.0,100.0,3,1.9283865623036722
Miner_84,63.539551146174084,0.0,2,5.440303814170515
Miner_85,0.0,100.0,4,2.42859329299968
Miner_86,100.0,100.0,4,0.1613799334225524
Miner_87,0.0,14.487079008907799,3,3.530874685876476
Miner_88,31.246475384161762,0.0,2,4.597738774188168
Miner_89,100.0,100.0,3,0.8234276938385809
Miner_90,0.0,100.0,3,2.1556299872781475
Miner_91,100.0,0.0,4,5.0393480614280595
Miner_92,100.0,100.0,4,1.187651008793168
Miner_93,0.0,31.183500281571057,3,2.9475871589468965
Miner_94,0.0,0.0,4,3.306129312104354
Miner_95,74.70470882370799,0.0,2,5.30760591060059
Miner_96,0.0,100.0,2,1.9174074248565425
Miner_97,0.0,0.0,4,3.9951920750186667
Miner_98,0.0,100.0,3,2.399873185581609
Miner_99,0.0,0.0,4,3.702670544272077
Miner_100,100.0,100.0,4,0.43673019905581245
Miner_101,100.0,0.0,4,5.934168882279686
Miner_102,100.0,5.3909571889848795,1,5.455506876573559
Miner_103,84.98326368044408,33.74583337077024,1,6.256497742995932
Miner_104,0.0,100.0,2,2.3116295434479794
Miner_105,0.0,0.0,4,3.963432578373089
Miner_106,100.0,100.0,3,0.7204851759079673
Miner_107,100.0,14.092741892343227,2,5.3784729870955985
Miner_108,0.0,100.0,3,2.342772771479589
Miner_109,42.601932936849465,0.0,3,4.308612318690177
Miner_110,100.0,0.0,4,5.028893780598488
Miner_111,0.0,69.53155724782226,3,2.8127807127151607
Miner_112,49.82934864645254,0.0,1,5.195407214555677
Miner_113,4.520083132341085,96.48302657891205,2,2.867061136480138
Miner_114,100.0,0.0,4,5.334577691168399
Miner_115,19.549795374971165,8.126808429066507,1,4.638914279935102
Miner_116,100.0,63.93269418086766,4,0.17068228189687992
Miner_117,26.155516684643274,0.0,2,4.939392249554269
Miner_118,0.0,0.0,4,4.3346592936151715
Miner_119,100.0,58.276805766161246,1,0.42261282877148276
Miner_120,100.0,0.0,4,6.027595266096687
Miner_121,10.226136223002776,47.30277275212007,1,2.1512221596377015
Miner_122,0.0,29.238437754347707,2,3.916417719041134
Miner_123,39.20727393408295,62.277863548038994,1,1.3952736071797207
Miner_124,0.0,0.0,4,4.0368033350974155
Miner_125,85.73363131652404,0.0,4,4.753536927824145
Miner_126,100.0,47.29110111115649,2,0.373416861209779
Miner_127,0.0,0.0,4,3.8736876800917397
Miner_128,0.0,0.0,3,4.153978945675675
Miner_129,0.0,62.22237737965115,3,2.9617425375001654
Miner_130,100.0,64.35886349149897,1,1.0758112925985162
Miner_131,16.55489837888826,100.0,3,1.7163100277145902
Miner_132,8.022014345427122,79.87333191373861,1,1.8727687412558762
Miner_133,0.0,100.0,3,2.8853819781698142
Miner_134,0.0,0.0,2,3.8029684046809336
Miner_135,0.0,68.73663110922028,1,2.6608006735034566
Miner_136,100.0,100.0,3,0.41023913109315163
Miner_137,100.0,47.27471351848528,1,6.031048078083759
Miner_138,98.55803116357436,48.047094820789766,1,5.797196291241429
Miner_139,0.0,100.0,4,2.18881803901272
Miner_140,98.0518969280958,100.0,1,1.1063669416599053
Miner_141,81.61021217231298,100.0,4,1.1568975053815693
Miner_142,0.0,0.0,4,3.6392704134010407
Miner_143,100.0,52.14845643063708,1,5.447848982221631
Miner_144,56.706648082597596,100.0,2,2.013797301608298
Miner_145,100.0,0.0,4,5.44967297742671
Miner_146,53.43698462687375,66.06536375182628,1,3.579605999125414
Miner_147,37.183229837359065,62.88439385444619,1,2.2041436402083487
Miner_148,100.0,100.0,3,1.0679042125157043
